tissue	outcome	avi_quintile	tested	observed	expected	observed_expected	ci_low	ci_high
Brain_Putamen_basal_ganglia	eqtl	1	1916776	19153	27976	0.684623	0.486185	0.924352
Brain_Putamen_basal_ganglia	eqtl	2	1776295	29464	50067.4	0.588486	0.492179	0.695439
Brain_Putamen_basal_ganglia	eqtl	3	1809272	68794	72914.6	0.943487	0.800517	1.0883
Brain_Putamen_basal_ganglia	eqtl	4	1985402	132578	113115	1.17207	1.10936	1.23279
Brain_Putamen_basal_ganglia	eqtl	5	1724480	162886	148802	1.09465	1.00703	1.18822
Brain_Putamen_basal_ganglia	lead	1	1916776	211	323.503	0.652236	0.568813	0.735953
Brain_Putamen_basal_ganglia	lead	2	1776295	435	609.547	0.713644	0.642554	0.781529
Brain_Putamen_basal_ganglia	lead	3	1809272	784	956.45	0.819698	0.752711	0.882397
Brain_Putamen_basal_ganglia	lead	4	1985402	1599	1575.61	1.01484	0.967574	1.05958
Brain_Putamen_basal_ganglia	lead	5	1724480	2725	2288.88	1.19054	1.1536	1.23292
Brain_Putamen_basal_ganglia	finemapped	1	1916776	40	62.8161	0.63678	0.421093	0.846997
Brain_Putamen_basal_ganglia	finemapped	2	1776295	113	156.496	0.722063	0.558982	0.896515
Brain_Putamen_basal_ganglia	finemapped	3	1809272	264	299.426	0.881687	0.755762	1.01359
Brain_Putamen_basal_ganglia	finemapped	4	1985402	548	557.887	0.982277	0.894216	1.0723
Brain_Putamen_basal_ganglia	finemapped	5	1724480	1029	917.374	1.12168	1.06123	1.18167
Brain_Spinal_cord_cervical_c-1	eqtl	1	1957134	11031	16428.5	0.671454	0.491853	0.893019
Brain_Spinal_cord_cervical_c-1	eqtl	2	1780545	18349	29701.1	0.617788	0.504366	0.735533
Brain_Spinal_cord_cervical_c-1	eqtl	3	1807750	45503	44727.6	1.01734	0.81778	1.21228
Brain_Spinal_cord_cervical_c-1	eqtl	4	1985406	82590	69617.4	1.18634	1.10115	1.26101
Brain_Spinal_cord_cervical_c-1	eqtl	5	1724638	96159	93157.3	1.03222	0.922574	1.15463
Brain_Spinal_cord_cervical_c-1	lead	1	1957134	128	205.111	0.624052	0.50827	0.743406
Brain_Spinal_cord_cervical_c-1	lead	2	1780545	296	387.51	0.763851	0.678763	0.85495
Brain_Spinal_cord_cervical_c-1	lead	3	1807750	555	625.14	0.887801	0.809952	0.967065
Brain_Spinal_cord_cervical_c-1	lead	4	1985406	1036	1021.43	1.01427	0.954052	1.06679
Brain_Spinal_cord_cervical_c-1	lead	5	1724638	1683	1458.81	1.15368	1.1093	1.19823
Brain_Spinal_cord_cervical_c-1	finemapped	1	1957134	26	36.5702	0.710961	0.428377	1.01732
