y	variant	y_transform	x_model	x_plot	fit_model_space	ci_lo_model_space	ci_hi_model_space	fit_y_units	ci_lo_y_units	ci_hi_y_units
avi_top1_per_kb	A_raw_x	raw	2001.47	2001.47	41.562	39.4209	43.703	41.562	39.4209	43.703
avi_top1_per_kb	A_raw_x	raw	2014.21	2014.21	41.641	39.4847	43.7973	41.641	39.4847	43.7973
avi_top1_per_kb	A_raw_x	raw	2026.95	2026.95	41.72	39.5485	43.8915	41.72	39.5485	43.8915
avi_top1_per_kb	A_raw_x	raw	2039.7	2039.7	41.7991	39.6123	43.9858	41.7991	39.6123	43.9858
avi_top1_per_kb	A_raw_x	raw	2052.44	2052.44	41.8781	39.6761	44.0801	41.8781	39.6761	44.0801
avi_top1_per_kb	A_raw_x	raw	2065.18	2065.18	41.9571	39.7399	44.1743	41.9571	39.7399	44.1743
avi_top1_per_kb	A_raw_x	raw	2077.92	2077.92	42.0362	39.8037	44.2686	42.0362	39.8037	44.2686
avi_top1_per_kb	A_raw_x	raw	2090.66	2090.66	42.1152	39.8675	44.3629	42.1152	39.8675	44.3629
avi_top1_per_kb	A_raw_x	raw	2103.41	2103.41	42.1942	39.9313	44.4572	42.1942	39.9313	44.4572
avi_top1_per_kb	A_raw_x	raw	2116.15	2116.15	42.2733	39.9951	44.5515	42.2733	39.9951	44.5515
avi_top1_per_kb	A_raw_x	raw	2128.89	2128.89	42.3523	40.0589	44.6458	42.3523	40.0589	44.6458
avi_top1_per_kb	A_raw_x	raw	2141.63	2141.63	42.4314	40.1227	44.7401	42.4314	40.1227	44.7401
avi_top1_per_kb	A_raw_x	raw	2154.37	2154.37	42.5104	40.1864	44.8344	42.5104	40.1864	44.8344
avi_top1_per_kb	A_raw_x	raw	2167.12	2167.12	42.5894	40.2502	44.9287	42.5894	40.2502	44.9287
avi_top1_per_kb	A_raw_x	raw	2179.86	2179.86	42.6685	40.314	45.023	42.6685	40.314	45.023
avi_top1_per_kb	A_raw_x	raw	2192.6	2192.6	42.7475	40.3777	45.1173	42.7475	40.3777	45.1173
avi_top1_per_kb	A_raw_x	raw	2205.34	2205.34	42.8265	40.4415	45.2116	42.8265	40.4415	45.2116
avi_top1_per_kb	A_raw_x	raw	2218.08	2218.08	42.9056	40.5052	45.3059	42.9056	40.5052	45.3059
avi_top1_per_kb	A_raw_x	raw	2230.82	2230.82	42.9846	40.569	45.4002	42.9846	40.569	45.4002
avi_top1_per_kb	A_raw_x	raw	2243.57	2243.57	43.0636	40.6327	45.4945	43.0636	40.6327	45.4945
avi_top1_per_kb	A_raw_x	raw	2256.31	2256.31	43.1427	40.6965	45.5889	43.1427	40.6965	45.5889
avi_top1_per_kb	A_raw_x	raw	2269.05	2269.05	43.2217	40.7602	45.6832	43.2217	40.7602	45.6832
avi_top1_per_kb	A_raw_x	raw	2281.79	2281.79	43.3007	40.824	45.7775	43.3007	40.824	45.7775
avi_top1_per_kb	A_raw_x	raw	2294.53	2294.53	43.3798	40.8877	45.8719	43.3798	40.8877	45.8719
avi_top1_per_kb	A_raw_x	raw	2307.28	2307.28	43.4588	40.9514	45.9662	43.4588	40.9514	45.9662
avi_top1_per_kb	A_raw_x	raw	2320.02	2320.02	43.5379	41.0152	46.0605	43.5379	41.0152	46.0605
avi_top1_per_kb	A_raw_x	raw	2332.76	2332.76	43.6169	41.0789	46.1549	43.6169	41.0789	46.1549
avi_top1_per_kb	A_raw_x	raw	2345.5	2345.5	43.6959	41.1426	46.2492	43.6959	41.1426	46.2492
avi_top1_per_kb	A_raw_x	raw	2358.24	2358.24	43.775	41.2063	46.3436	43.775	41.2063	46.3436
avi_top1_per_kb	A_raw_x	raw	2370.98	2370.98	43.854	41.2701	46.4379	43.854	41.2701	46.4379
avi_top1_per_kb	A_raw_x	raw	2383.73	2383.73	43.933	41.3338	46.5323	43.933	41.3338	46.5323
avi_top1_per_kb	A_raw_x	raw	2396.47	2396.47	44.0121	41.3975	46.6266	44.0121	41.3975	46.6266
avi_top1_per_kb	A_raw_x	raw	2409.21	2409.21	44.0911	41.4612	46.721	44.0911	41.4612	46.721
avi_top1_per_kb	A_raw_x	raw	2421.95	2421.95	44.1701	41.5249	46.8154	44.1701	41.5249	46.8154
avi_top1_per_kb	A_raw_x	raw	2434.69	2434.69	44.2492	41.5886	46.9097	44.2492	41.5886	46.9097
avi_top1_per_kb	A_raw_x	raw	2447.44	2447.44	44.3282	41.6523	47.0041	44.3282	41.6523	47.0041
avi_top1_per_kb	A_raw_x	raw	2460.18	2460.18	44.4072	41.716	47.0985	44.4072	41.716	47.0985
avi_top1_per_kb	A_raw_x	raw	2472.92	2472.92	44.4863	41.7797	47.1928	44.4863	41.7797	47.1928
avi_top1_per_kb	A_raw_x	raw	2485.66	2485.66	44.5653	41.8434	47.2872	44.5653	41.8434	47.2872
avi_top1_per_kb	A_raw_x	raw	2498.4	2498.4	44.6443	41.9071	47.3816	44.6443	41.9071	47.3816
avi_top1_per_kb	A_raw_x	raw	2511.15	2511.15	44.7234	41.9708	47.4759	44.7234	41.9708	47.4759
avi_top1_per_kb	A_raw_x	raw	2523.89	2523.89	44.8024	42.0345	47.5703	44.8024	42.0345	47.5703
avi_top1_per_kb	A_raw_x	raw	2536.63	2536.63	44.8815	42.0982	47.6647	44.8815	42.0982	47.6647
avi_top1_per_kb	A_raw_x	raw	2549.37	2549.37	44.9605	42.1619	47.7591	44.9605	42.1619	47.7591
avi_top1_per_kb	A_raw_x	raw	2562.11	2562.11	45.0395	42.2256	47.8535	45.0395	42.2256	47.8535
avi_top1_per_kb	A_raw_x	raw	2574.85	2574.85	45.1186	42.2893	47.9479	45.1186	42.2893	47.9479
avi_top1_per_kb	A_raw_x	raw	2587.6	2587.6	45.1976	42.3529	48.0423	45.1976	42.3529	48.0423
avi_top1_per_kb	A_raw_x	raw	2600.34	2600.34	45.2766	42.4166	48.1366	45.2766	42.4166	48.1366
avi_top1_per_kb	A_raw_x	raw	2613.08	2613.08	45.3557	42.4803	48.231	45.3557	42.4803	48.231
avi_top1_per_kb	A_raw_x	raw	2625.82	2625.82	45.4347	42.544	48.3254	45.4347	42.544	48.3254
avi_top1_per_kb	A_raw_x	raw	2638.56	2638.56	45.5137	42.6076	48.4198	45.5137	42.6076	48.4198
avi_top1_per_kb	A_raw_x	raw	2651.31	2651.31	45.5928	42.6713	48.5142	45.5928	42.6713	48.5142
avi_top1_per_kb	A_raw_x	raw	2664.05	2664.05	45.6718	42.735	48.6086	45.6718	42.735	48.6086
avi_top1_per_kb	A_raw_x	raw	2676.79	2676.79	45.7508	42.7987	48.703	45.7508	42.7987	48.703
avi_top1_per_kb	A_raw_x	raw	2689.53	2689.53	45.8299	42.8623	48.7974	45.8299	42.8623	48.7974
avi_top1_per_kb	A_raw_x	raw	2702.27	2702.27	45.9089	42.926	48.8918	45.9089	42.926	48.8918
avi_top1_per_kb	A_raw_x	raw	2715.02	2715.02	45.988	42.9896	48.9863	45.988	42.9896	48.9863
avi_top1_per_kb	A_raw_x	raw	2727.76	2727.76	46.067	43.0533	49.0807	46.067	43.0533	49.0807
avi_top1_per_kb	A_raw_x	raw	2740.5	2740.5	46.146	43.117	49.1751	46.146	43.117	49.1751
avi_top1_per_kb	A_raw_x	raw	2753.24	2753.24	46.2251	43.1806	49.2695	46.2251	43.1806	49.2695
avi_top1_per_kb	A_raw_x	raw	2765.98	2765.98	46.3041	43.2443	49.3639	46.3041	43.2443	49.3639
avi_top1_per_kb	A_raw_x	raw	2778.72	2778.72	46.3831	43.3079	49.4583	46.3831	43.3079	49.4583
avi_top1_per_kb	A_raw_x	raw	2791.47	2791.47	46.4622	43.3716	49.5527	46.4622	43.3716	49.5527
avi_top1_per_kb	A_raw_x	raw	2804.21	2804.21	46.5412	43.4352	49.6472	46.5412	43.4352	49.6472
avi_top1_per_kb	A_raw_x	raw	2816.95	2816.95	46.6202	43.4989	49.7416	46.6202	43.4989	49.7416
